,id,new_spec,est_mass,hydrogen_kg,nitrogen_kg,ammonia_kg,iron_kg,water_kg,nickel_kg,cobalt_kg,magnesium silicate_kg,iron silicate_kg,aluminum_kg,nickel-iron_kg,platinum_kg
150,bK06S19P,Sq,76292904.95036274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.629290495036275e-23,0.0,0.0,0.0,0.0
151,bK06V13P,Q,175593904.6450957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2338032840.349449,0.0
152,bK06W00B,A,531269405.3634581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,bK06X00W,C,89200370.3358889,20962087.028933894,89200.3703358889,89200.3703358889,14807261.47575756,17840074.067177784,1248805.1847024448,178400.7406717778,0.0,0.0,0.0,0.0,0.0
154,bK06X04P,V,116407187.6747982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1640718767479822e-22,0.0,0.0,0.0,0.0
155,bK06X04W,V,66571397.55240663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.657139755240664e-23,0.0,0.0,0.0,0.0
156,bK06Y00M,Sq,58975732.24833326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.897573224833327e-23,0.0,0.0,0.0,0.0
157,bK06Y00P,S,117026877.5179862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.170268775179862e-22,0.0,0.0,0.0,0.0
158,bK07A02A,V,44619155.29625233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4619155296252336e-23,0.0,0.0,0.0,0.0
159,bK07C05S,C,22420768.11722185,5268880.5075471345,22420.76811722185,22420.76811722185,3721847.5074588275,4484153.62344437,313890.7536411059,44841.5362344437,0.0,0.0,0.0,0.0,0.0
160,bK07C26M,S,21990725.20062255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1990725200622554e-23,0.0,0.0,0.0,0.0
161,bK07E00C,S,1213977412.1490023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2139774121490024e-21,0.0,0.0,0.0,0.0
162,bK07H00C,Sq,19854085.783537026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9854085783537028e-23,0.0,0.0,0.0,0.0
163,bK07H04L,Sq,87961661.64624462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.796166164624462e-23,0.0,0.0,0.0,0.0
164,bK07P09S,S,203037687.84754092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0303768784754092e-22,0.0,0.0,0.0,0.0
165,bK07R08X,S,50926699.041376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.092669904137601e-23,0.0,0.0,0.0,0.0
166,bK07R12T,R,116524528.26111157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1652452826111157e-22,0.0,0.0,0.0,0.0
167,bK07R17O,S,8817366.24357767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.817366243577671e-24,0.0,0.0,0.0,0.0
168,bK07S06Q,S,1849408057.2419896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8494080572419897e-21,0.0,0.0,0.0,0.0
169,bK07T03H,V,38089049.15511456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8089049155114566e-23,0.0,0.0,0.0,0.0
170,bK07T15F,X,88534507.13599329,0.0,0.0,0.0,7791036627.967409,0.0,885345071.3599329,44267253.56799664,0.0,0.0,0.0,0.0,0.0
171,bK07T71E,Q,66122826.344773605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880425432.7806605,0.0
172,bK07U01W,S,607926137.0121648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.079261370121649e-22,0.0,0.0,0.0,0.0
173,bK07U01Y,V,403934341.42410725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.039343414241073e-22,0.0,0.0,0.0,0.0
174,bK07U06P,Sq,403698405.68829024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0369840568829026e-22,0.0,0.0,0.0,0.0
175,bK07V83V,X,75369930.03219934,0.0,0.0,0.0,6632553842.833542,0.0,753699300.3219934,37684965.01609967,0.0,0.0,0.0,0.0,0.0
176,bK07W00A,S,38398707.06861288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.839870706861288e-23,0.0,0.0,0.0,0.0
177,bK07Y00F,Sq,33743307.25474362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.374330725474362e-23,0.0,0.0,0.0,0.0
178,bK07Y01J,C,8596566.933809275,2020193.2294451795,8596.566933809276,8596.566933809276,1427030.1110123396,1719313.386761855,120351.93707332986,17193.13386761855,0.0,0.0,0.0,0.0,0.0
